lsoa_code,traj,traj_titles
E01024031,A,"N = 23,924 (72%)"
E01024032,A,"N = 23,924 (72%)"
E01024033,A,"N = 23,924 (72%)"
E01024034,B,"N = 8,124 (26%)"
E01024035,A,"N = 23,924 (72%)"
E01024036,A,"N = 23,924 (72%)"
E01024037,A,"N = 23,924 (72%)"
E01024038,A,"N = 23,924 (72%)"
E01024039,A,"N = 23,924 (72%)"
E01024040,A,"N = 23,924 (72%)"
E01024041,A,"N = 23,924 (72%)"
E01024042,B,"N = 8,124 (26%)"
E01024043,A,"N = 23,924 (72%)"
E01024044,C,"N = 5,664 (3%)"
E01024045,A,"N = 23,924 (72%)"
E01024046,A,"N = 23,924 (72%)"
E01024047,C,"N = 5,664 (3%)"
E01024048,B,"N = 8,124 (26%)"
E01024049,B,"N = 8,124 (26%)"
E01024052,B,"N = 8,124 (26%)"
E01024053,B,"N = 8,124 (26%)"
E01024054,A,"N = 23,924 (72%)"
E01024055,A,"N = 23,924 (72%)"
E01024056,A,"N = 23,924 (72%)"
E01024057,A,"N = 23,924 (72%)"
E01024058,A,"N = 23,924 (72%)"
E01024059,B,"N = 8,124 (26%)"
E01024060,A,"N = 23,924 (72%)"
E01024061,A,"N = 23,924 (72%)"
E01024062,A,"N = 23,924 (72%)"
E01024063,A,"N = 23,924 (72%)"
E01024064,A,"N = 23,924 (72%)"
E01024065,A,"N = 23,924 (72%)"
E01024066,A,"N = 23,924 (72%)"
E01024067,A,"N = 23,924 (72%)"
E01024068,A,"N = 23,924 (72%)"
E01024069,A,"N = 23,924 (72%)"
E01024070,B,"N = 8,124 (26%)"
E01024071,B,"N = 8,124 (26%)"
E01024072,B,"N = 8,124 (26%)"
E01024073,A,"N = 23,924 (72%)"
E01024074,A,"N = 23,924 (72%)"
E01024075,A,"N = 23,924 (72%)"
E01024076,A,"N = 23,924 (72%)"
E01024077,A,"N = 23,924 (72%)"
E01024078,C,"N = 5,664 (3%)"
E01024079,A,"N = 23,924 (72%)"
E01024080,B,"N = 8,124 (26%)"
E01024081,B,"N = 8,124 (26%)"
E01024082,B,"N = 8,124 (26%)"
E01024083,A,"N = 23,924 (72%)"
E01024084,A,"N = 23,924 (72%)"
E01024085,A,"N = 23,924 (72%)"
E01024086,A,"N = 23,924 (72%)"
E01024087,B,"N = 8,124 (26%)"
E01024088,B,"N = 8,124 (26%)"
E01024089,A,"N = 23,924 (72%)"
E01024090,C,"N = 5,664 (3%)"
E01024091,B,"N = 8,124 (26%)"
E01024092,B,"N = 8,124 (26%)"
E01024093,C,"N = 5,664 (3%)"
E01024094,A,"N = 23,924 (72%)"
E01024095,A,"N = 23,924 (72%)"
E01024096,A,"N = 23,924 (72%)"
E01024097,A,"N = 23,924 (72%)"
E01024098,A,"N = 23,924 (72%)"
E01024099,B,"N = 8,124 (26%)"
E01024100,B,"N = 8,124 (26%)"
E01024101,B,"N = 8,124 (26%)"
E01024102,A,"N = 23,924 (72%)"
E01024103,B,"N = 8,124 (26%)"
E01024104,B,"N = 8,124 (26%)"
E01024105,A,"N = 23,924 (72%)"
E01024106,A,"N = 23,924 (72%)"
E01024107,A,"N = 23,924 (72%)"
E01024108,B,"N = 8,124 (26%)"
E01024109,A,"N = 23,924 (72%)"
E01024110,A,"N = 23,924 (72%)"
E01024111,A,"N = 23,924 (72%)"
E01024112,A,"N = 23,924 (72%)"
E01024113,A,"N = 23,924 (72%)"
E01024114,A,"N = 23,924 (72%)"
E01024115,A,"N = 23,924 (72%)"
E01024116,A,"N = 23,924 (72%)"
E01024117,A,"N = 23,924 (72%)"
E01024118,B,"N = 8,124 (26%)"
E01024119,A,"N = 23,924 (72%)"
E01024120,A,"N = 23,924 (72%)"
E01024121,A,"N = 23,924 (72%)"
